TransactionID,OrderDate,Origin,Destination,TransportMode,Carrier,Distance_km,FreightCost,ShipmentWeight_kg,PlannedTransitDays,ActualTransitDays,UnitsShipped,DamagedUnits,OnTimeDelivery
1,4/12/2024,Delhi,Kolkata,Rail,Delhivery,1605,6049.41,2533,5,11,120,0,0
2,12/14/2024,Chennai,Kolkata,Rail,DHL,580,61053.32,1263,6,10,225,0,0
3,9/27/2024,Mumbai,Kolkata,Rail,kuehne nagel,1598,32436.68,4785,9,11,136,0,0
4,4/16/2024,Chennai,Ahmedabad,Road,kuehne nagel,66,66319.78,3042,3,4,251,0,0
5,3/12/2024,Jaipur,Pune,Road,Delhivery,767,62780.39,4479,1,9,412,1,0
6,7/7/2024,Bangalore,Ahmedabad,Road,Delhivery,1103,50782,956,8,1,211,0,1
7,1/21/2024,Mumbai,Hyderabad,Road,kuehne nagel,519,21916.47,1631,2,5,382,0,0
8,4/12/2024,Delhi,Pune,Road,DHL,860,10114.79,1654,2,12,11,0,0
9,5/1/2024,Mumbai,Kolkata,Road,kuehne nagel,1377,21706.57,619,4,4,439,0,1
10,8/2/2024,Delhi,Indore,Rail,Delhivery,604,41761.26,1595,5,5,10,0,1
11,11/26/2024,Mumbai,Pune,Rail,kuehne nagel,142,78398.11,958,1,6,315,0,0
12,3/28/2024,Delhi,Kolkata,Air,Delhivery,931,6967.6,4512,3,14,65,0,0
13,4/9/2024,Delhi,Pune,Rail,kuehne nagel,627,17605.62,4133,8,13,389,0,0
14,12/25/2024,Mumbai,Pune,Road,Delhivery,680,50927.8,3390,6,1,80,0,1
15,5/31/2024,Mumbai,Ahmedabad,Road,Delhivery,870,25740.42,2475,3,8,468,0,0
16,5/10/2024,Delhi,Hyderabad,Road,DHL,633,68963.34,3268,7,12,404,0,0
17,5/29/2024,Jaipur,Indore,Road,Delhivery,895,12874.52,2215,6,11,92,0,0
18,11/4/2024,Mumbai,Kolkata,Road,kuehne nagel,1235,77126.29,1063,5,3,133,0,1
19,9/14/2024,Chennai,Pune,Road,Delhivery,891,73165.24,3256,8,7,112,0,1
20,12/9/2024,Bangalore,Indore,Road,DTDC,377,71227.27,1922,8,7,195,1,1
21,10/20/2024,Delhi,Pune,Rail,kuehne nagel,1854,15499.39,4959,3,9,414,1,0
22,7/10/2024,Delhi,Hyderabad,Rail,DHL,779,27700.7,255,8,11,87,0,0
23,10/3/2024,Bangalore,Indore,Road,kuehne nagel,303,64719.55,865,9,11,162,0,0
24,6/9/2024,Jaipur,Kolkata,Road,DHL,1513,65009.03,115,3,7,369,0,0
25,11/9/2024,Bangalore,Pune,Road,DTDC,620,57003.68,4095,8,12,374,0,0
26,1/22/2024,Mumbai,Hyderabad,Rail,DHL,593,36947.97,2101,8,8,348,0,1
27,9/9/2024,Bangalore,Indore,Road,Delhivery,900,26303.96,52,7,4,1,0,1
28,8/23/2024,Delhi,Pune,Rail,DTDC,169,77110.72,374,8,10,368,1,0
29,12/10/2024,Bangalore,Pune,Road,DTDC,1024,12862.46,654,1,4,411,0,0
30,2/18/2024,Chennai,Kolkata,Road,DHL,871,5412.82,4941,3,10,119,0,0
31,2/28/2024,Mumbai,Hyderabad,Road,kuehne nagel,563,2712.18,2632,6,8,376,0,0
32,6/18/2024,Bangalore,Ahmedabad,Road,DHL,1703,62452.1,2696,7,14,254,0,0
33,7/6/2024,Delhi,Pune,Road,DHL,1622,6423,3172,7,4,191,0,1
34,9/27/2024,Mumbai,Indore,Rail,DTDC,1028,44014.2,3164,6,13,290,0,0
35,7/8/2024,Delhi,Kolkata,Road,Delhivery,146,30648.81,3325,4,4,351,0,1
36,6/23/2024,Jaipur,Kolkata,Road,kuehne nagel,920,13458.82,396,5,10,288,1,0
37,2/20/2024,Chennai,Pune,Air,DHL,1443,59766.45,4204,9,3,116,0,1
38,12/29/2024,Jaipur,Pune,Road,Delhivery,1490,6290.53,2777,1,12,199,0,0
39,2/24/2024,Chennai,Pune,Road,Delhivery,306,26834.72,2608,2,3,235,0,0
40,8/31/2024,Bangalore,Ahmedabad,Road,kuehne nagel,177,45850.92,3439,5,11,230,0,0
41,11/15/2024,Mumbai,Pune,Rail,Delhivery,1432,33388.43,3493,5,4,226,0,1
42,5/10/2024,Bangalore,Hyderabad,Rail,DHL,1229,22213.56,2304,7,12,430,0,0
43,11/2/2024,Chennai,Indore,Road,DTDC,1730,74228.08,160,8,13,196,0,0
44,5/14/2024,Chennai,Pune,Air,Delhivery,106,74615.69,72,6,14,467,0,0
45,1/21/2024,Chennai,Ahmedabad,Rail,DTDC,631,34455.37,3866,6,2,441,0,1
46,11/24/2024,Delhi,Indore,Road,kuehne nagel,605,32712.06,2013,5,12,278,0,0
47,6/15/2024,Mumbai,Kolkata,Rail,kuehne nagel,773,25976.03,4932,5,3,157,0,1
48,9/30/2024,Bangalore,Pune,Road,Delhivery,1760,68748.98,1757,8,11,482,0,0
49,3/29/2024,Bangalore,Indore,Rail,DTDC,702,46297.39,3132,5,12,354,1,0
50,11/11/2024,Jaipur,Kolkata,Road,DHL,1149,8982.73,3865,6,2,301,0,1
51,1/14/2024,Chennai,Ahmedabad,Rail,DTDC,207,68559.01,796,3,14,173,0,0
52,8/29/2024,Chennai,Hyderabad,Road,Delhivery,134,43721.13,564,5,11,323,0,0
53,9/21/2024,Chennai,Pune,Air,DTDC,371,34416.16,3089,9,14,21,1,0
54,12/11/2024,Bangalore,Hyderabad,Road,DTDC,358,28353.47,2906,3,6,486,0,0
55,2/22/2024,Jaipur,Ahmedabad,Rail,kuehne nagel,1603,9755.27,2391,8,13,405,0,0
56,12/5/2024,Delhi,Indore,Road,Delhivery,333,76622.77,374,7,3,188,0,1
57,4/1/2024,Mumbai,Indore,Air,DTDC,1973,59816.99,3412,4,2,465,0,1
58,9/20/2024,Delhi,Ahmedabad,Rail,Delhivery,1115,12278.65,3540,5,9,285,0,0
59,2/4/2024,Bangalore,Ahmedabad,Road,DHL,1052,41878.97,2557,8,8,289,0,1
60,7/24/2024,Chennai,Pune,Air,Delhivery,1967,45334.87,3228,7,5,167,1,1
61,3/21/2024,Mumbai,Kolkata,Road,DHL,1958,15095.32,3374,2,13,190,0,0
62,2/19/2024,Bangalore,Hyderabad,Rail,Delhivery,183,35323.28,1612,8,9,90,0,0
63,12/25/2024,Bangalore,Hyderabad,Rail,Delhivery,663,52368.2,1594,8,5,382,0,1
64,1/2/2024,Bangalore,Indore,Road,DTDC,698,24152.82,3279,9,5,455,0,1
65,2/23/2024,Mumbai,Indore,Air,DTDC,1477,27865.5,575,2,13,301,0,0
66,4/15/2024,Mumbai,Pune,Road,DHL,1566,11518.22,4683,4,11,442,1,0
67,9/16/2024,Jaipur,Ahmedabad,Road,DHL,1295,34232.77,1799,2,11,73,0,0
68,11/5/2024,Jaipur,Hyderabad,Air,kuehne nagel,278,47540.87,4772,4,4,82,0,1
69,7/9/2024,Delhi,Pune,Rail,DTDC,1879,11088.99,890,3,12,385,0,0
70,8/5/2024,Mumbai,Indore,Road,DHL,1525,49953.18,2315,7,3,11,0,1
71,2/13/2024,Mumbai,Indore,Road,DTDC,1047,33027.87,4738,5,13,470,0,0
72,6/10/2024,Mumbai,Hyderabad,Rail,Delhivery,1379,54898.22,762,7,10,249,0,0
73,7/20/2024,Jaipur,Indore,Road,kuehne nagel,1901,26557.28,116,2,9,160,0,0
74,9/26/2024,Bangalore,Indore,Air,DTDC,1982,46342.94,810,4,4,107,0,1
75,12/16/2024,Chennai,Kolkata,Rail,DTDC,168,49798.62,514,6,7,458,1,0
76,10/30/2024,Jaipur,Ahmedabad,Road,DTDC,1684,55859.58,4241,5,5,433,0,1
77,9/27/2024,Mumbai,Indore,Road,DTDC,1935,61041.24,4553,2,7,91,0,0
78,8/2/2024,Jaipur,Kolkata,Road,DHL,987,12635.43,3239,7,12,241,0,0
79,9/8/2024,Delhi,Pune,Road,DHL,373,77288.93,4949,2,8,204,0,0
80,7/8/2024,Mumbai,Indore,Rail,kuehne nagel,970,67804.34,1517,9,14,414,0,0
81,10/22/2024,Delhi,Pune,Air,Delhivery,208,45860.87,4902,7,8,316,0,0
82,7/31/2024,Mumbai,Indore,Road,Delhivery,288,71447.99,2810,3,10,394,1,0
83,7/26/2024,Jaipur,Hyderabad,Road,kuehne nagel,445,31829.77,4506,6,6,460,1,1
84,8/24/2024,Bangalore,Kolkata,Road,Delhivery,369,4674.35,1443,5,5,358,0,1
85,12/3/2024,Chennai,Kolkata,Rail,DHL,1920,58708.45,3743,9,11,149,0,0
86,2/22/2024,Delhi,Hyderabad,Rail,DTDC,1262,75580.84,4357,3,2,475,0,1
87,10/6/2024,Jaipur,Ahmedabad,Rail,Delhivery,358,14624.66,1749,2,12,262,0,0
88,8/4/2024,Bangalore,Kolkata,Road,DTDC,298,52222.17,1170,2,8,166,0,0
89,9/8/2024,Jaipur,Pune,Air,DTDC,587,65447.19,1621,4,5,381,0,0
90,7/6/2024,Delhi,Kolkata,Road,DHL,750,72595.23,4923,1,8,116,0,0
91,2/10/2024,Chennai,Ahmedabad,Rail,DTDC,1579,23569.17,778,9,6,442,0,1
92,6/5/2024,Jaipur,Pune,Rail,Delhivery,443,12041.24,3554,3,8,8,0,0
93,1/15/2024,Mumbai,Pune,Rail,DHL,701,21332.31,665,5,13,229,0,0
94,10/27/2024,Bangalore,Hyderabad,Road,kuehne nagel,1067,47062.29,420,2,1,70,0,1
95,3/5/2024,Jaipur,Indore,Rail,DHL,455,73660.8,3514,8,9,191,0,0
96,12/10/2024,Bangalore,Hyderabad,Road,Delhivery,1049,47437.79,4777,3,14,162,0,0
97,11/22/2024,Mumbai,Indore,Rail,DHL,1254,73730.46,4906,5,9,177,0,0
98,1/9/2024,Chennai,Hyderabad,Road,Delhivery,70,62062.89,4992,7,3,40,0,1
99,12/9/2024,Chennai,Indore,Road,Delhivery,1748,48674.38,997,2,13,342,1,0
100,5/8/2024,Mumbai,Kolkata,Road,DHL,1656,3700.28,1169,3,5,29,0,0
101,5/15/2024,Bangalore,Pune,Rail,Delhivery,1667,27979.91,1505,8,12,9,0,0
102,3/3/2024,Jaipur,Indore,Road,kuehne nagel,204,6481.85,2598,8,7,277,0,1
103,5/18/2024,Mumbai,Kolkata,Rail,Delhivery,1901,27134.9,2472,3,8,288,1,0
104,3/21/2024,Delhi,Ahmedabad,Rail,kuehne nagel,916,6862.01,3661,7,7,72,0,1
105,6/11/2024,Bangalore,Hyderabad,Rail,kuehne nagel,608,15089.64,2596,2,3,183,0,0
